2026-03-07 12:33:42,797 - Sistem basladi
2026-03-07 12:33:52,706 - Kisi tespit edildi ( ID = 0)
2026-03-07 12:33:56,607 - IHLAL BASLADI (ID = 0,tur =hareketsiz)
2026-03-07 12:33:56,657 - IHLAL BITTI (ID = 0,tur = hareketsiz)
2026-03-07 12:33:59,255 - IHLAL BASLADI (ID = 0,tur =hareketsiz)
2026-03-07 12:34:03,064 - IHLAL BITTI (ID = 0,tur = hareketsiz)
2026-03-07 12:34:08,372 - IHLAL BASLADI (ID = 0,tur =hareketsiz)
2026-03-07 12:34:18,035 - IHLAL BITTI (ID = 0,tur = hareketsiz)
2026-03-07 12:34:21,043 - IHLAL BASLADI (ID = 0,tur =hareketsiz)
2026-03-07 12:34:26,306 - IHLAL BITTI (ID = 0,tur = hareketsiz)
2026-03-07 12:34:28,367 - IHLAL BASLADI (ID = 0,tur =hareketsiz)
2026-03-07 12:34:47,541 - IHLAL BITTI (ID = 0,tur = hareketsiz)
